iter	Passed	Remaining
0	49	49222
1	50	24986
2	51	17004
3	52	12954
4	52	10537
5	53	8925
6	55	7828
7	56	6961
8	57	6288
9	58	5757
10	59	5310
11	59	4937
12	60	4619
13	61	4361
14	63	4150
15	63	3934
16	64	3742
17	65	3572
18	66	3419
19	66	3279
20	67	3158
21	68	3046
22	69	2944
23	70	2850
24	70	2763
25	71	2683
26	72	2610
27	73	2539
28	73	2475
29	74	2416
30	75	2360
31	76	2308
32	76	2254
33	77	2203
34	78	2153
35	78	2112
36	79	2068
37	80	2026
38	80	1987
39	81	1947
40	81	1909
41	82	1874
42	82	1841
43	83	1807
44	83	1775
45	85	1770
46	86	1744
47	86	1722
48	87	1696
49	87	1670
50	88	1645
51	88	1620
52	89	1598
53	90	1579
54	90	1562
55	91	1542
56	92	1522
57	92	1502
58	92	1483
59	93	1463
60	93	1444
61	94	1426
62	94	1408
63	95	1391
64	95	1375
65	96	1360
66	96	1345
67	97	1329
68	97	1315
69	98	1302
70	98	1288
71	98	1275
72	99	1262
73	99	1249
74	100	1235
75	100	1222
76	100	1208
77	101	1195
78	101	1182
79	101	1170
80	102	1157
81	102	1145
82	102	1132
83	102	1121
84	103	1110
85	103	1099
86	103	1089
87	104	1078
88	104	1068
89	104	1059
90	105	1050
91	105	1041
92	105	1032
93	106	1023
94	106	1015
95	106	1007
96	107	999
97	107	991
98	108	984
99	108	977
100	109	971
101	109	964
102	109	957
103	110	950
104	110	944
105	111	937
106	111	930
107	111	923
108	112	917
109	112	910
110	112	904
111	113	898
112	113	892
113	114	886
114	114	881
115	114	875
116	115	869
117	115	863
118	115	857
119	116	852
120	116	846
121	117	842
122	117	837
123	117	832
124	118	827
125	118	821
126	118	816
127	119	811
128	119	806
129	119	801
130	120	796
131	120	792
132	120	787
133	121	782
134	121	777
135	121	772
136	121	768
137	122	763
138	122	760
139	123	755
140	123	751
141	123	746
142	123	741
143	124	738
144	124	734
145	124	729
146	125	725
147	125	721
148	125	717
149	126	714
150	126	710
151	126	706
152	127	703
153	130	718
154	131	715
155	131	711
156	131	708
157	132	704
158	132	701
159	132	697
160	133	693
161	133	689
162	133	686
163	133	682
164	134	679
165	134	676
166	135	673
167	135	670
168	135	667
169	136	664
170	136	661
171	136	657
172	136	654
173	137	651
174	137	648
175	137	645
176	138	642
177	138	639
178	138	636
179	139	633
180	139	631
181	139	628
182	140	625
183	140	622
184	140	620
185	141	618
186	141	615
187	141	613
188	142	610
189	142	607
190	142	605
191	143	602
192	143	600
193	144	599
194	144	597
195	145	595
196	145	592
197	145	590
198	146	588
199	146	585
200	146	583
201	147	581
202	147	578
203	147	576
204	148	574
205	148	572
206	148	570
207	149	567
208	149	565
209	149	563
210	150	561
211	150	559
212	150	557
213	151	555
214	151	553
215	151	550
216	152	548
217	152	546
218	152	544
219	153	542
220	153	540
221	153	538
222	154	536
223	154	534
224	154	532
225	154	530
226	155	528
227	155	526
228	156	525
229	156	523
230	156	521
231	156	519
232	157	517
233	161	529
234	162	527
235	162	526
236	163	524
237	163	523
238	163	521
239	164	519
240	164	517
241	164	516
242	165	514
243	165	512
244	165	511
245	166	509
246	166	507
247	166	505
248	167	505
249	167	503
250	168	501
251	168	499
252	168	498
253	169	496
254	169	494
255	169	492
256	169	491
257	170	489
258	170	488
259	171	486
260	171	485
261	171	484
262	172	483
263	172	481
264	173	479
265	173	478
266	173	476
267	174	475
268	174	473
269	174	472
270	175	471
271	175	469
272	175	468
273	176	467
274	177	467
275	177	466
276	178	465
277	178	464
278	180	465
279	180	463
280	180	462
281	181	461
282	181	459
283	181	458
284	182	456
285	182	455
286	182	453
287	183	452
288	183	450
289	183	449
290	183	448
291	184	446
292	184	445
293	184	444
294	185	442
295	185	441
296	185	440
297	186	438
298	186	437
299	186	436
300	187	435
301	187	433
302	188	432
303	188	432
304	189	431
305	189	429
306	189	428
307	190	427
308	190	426
309	190	424
310	191	423
311	191	422
312	191	421
313	192	420
314	192	419
315	193	417
316	193	417
317	194	416
318	194	415
319	194	413
320	195	412
321	195	411
322	195	410
323	196	409
324	196	407
325	196	406
326	197	405
327	197	404
328	197	403
329	197	401
330	198	400
331	198	399
332	198	398
333	199	397
334	199	396
335	199	394
336	200	394
337	200	393
338	201	392
339	201	391
340	202	391
341	202	390
342	203	389
343	203	388
344	204	387
345	204	386
346	204	385
347	205	384
348	205	383
349	205	382
350	206	381
351	206	380
352	206	379
353	207	378
354	207	377
355	208	376
356	208	375
357	208	374
358	209	373
359	209	372
360	209	371
361	210	370
362	210	369
363	210	368
364	211	367
365	211	366
366	211	365
367	212	364
368	212	363
369	212	362
370	213	361
371	213	360
372	213	359
373	213	358
374	214	357
375	214	356
376	215	355
377	215	354
378	215	353
379	216	352
380	216	351
381	216	350
382	217	349
383	217	348
384	217	348
385	218	347
386	218	346
387	219	345
388	219	344
389	219	343
390	220	342
391	220	341
392	220	340
393	221	340
394	221	339
395	221	338
396	222	337
397	222	336
398	222	335
399	223	334
400	223	333
401	223	333
402	224	332
403	224	331
404	224	330
405	225	329
406	225	328
407	225	327
408	226	326
409	226	325
410	226	324
411	227	324
412	227	323
413	227	322
414	227	321
415	228	320
416	228	319
417	228	318
418	229	317
419	229	317
420	229	316
421	230	315
